STARTER1			19//ENT_TYPE.CHAR_GUY_SPELUNKY
STARTER2			03//ENT_TYPE.CHAR_COLIN_NORTHWARD
STARTER3			05//ENT_TYPE.CHAR_BANDA
STARTER4			06//ENT_TYPE.CHAR_GREEN_GIRL
RAND1				12//ENT_TYPE.CHAR_TINA_FLAN
RAND2				01//ENT_TYPE.CHAR_ANA_SPELUNKY
RAND3				02//ENT_TYPE.CHAR_MARGARET_TUNNEL
RAND4				09//ENT_TYPE.CHAR_COCO_VON_DIAMONDS
OLMEC_WIN			07//ENT_TYPE.CHAR_AMAZON
WORM				16//ENT_TYPE.CHAR_PILOT
SPIDERLAIR			13//ENT_TYPE.CHAR_VALERIE_CRUMP
YETIKINGDOM			15//ENT_TYPE.CHAR_DEMI_VON_DIAMONDS
HAUNTEDCASTLE		17//ENT_TYPE.CHAR_PRINCESS_AIRYN
YAMA				20//ENT_TYPE.CHAR_CLASSIC_GUY
OLMEC_CHAMBER		18//ENT_TYPE.CHAR_DIRK_YAMAOKA
TIKIVILLAGE			11//ENT_TYPE.CHAR_OTAKU
BLACKMARKET			04//ENT_TYPE.CHAR_ROFFY_D_SLOTH
RESTLESS_FLOODED	10//ENT_TYPE.CHAR_MANFRED_TUNNEL
MOTHERSHIP			08//ENT_TYPE.CHAR_LISE_SYSTEM
COG					14//ENT_TYPE.CHAR_AU
